order_id,title,document_type,court_level,court,court_code,state,judge,judge_role,issued_date,effective_date,amended_date,status,ai_scope,applies_to,case_types,sanctions_language,key_provisions,summary,source_url,source_type,secondary_urls,archive_url,fetched_at,text_sha256,text_excerpt,verification,lead_source,notes,obligations.ai_drafting,obligations.disclose_use,obligations.disclose_tool,obligations.disclose_how_used,obligations.certify_accuracy,obligations.certify_human_review,obligations.certify_confidentiality,obligations.verify_citations,obligations.mark_ai_sections,obligations.retain_prompts,obligations.ai_generated_evidence_disclosure,obligations.ai_recording_in_courtroom,obligations.warning_only
frcp-court-2025-rule-11-ai-suggestion,Rules Suggestion 25-CV-S: Proposed Rule 11(a) Generative AI Certification,proposed-rule,federal-specialty,Advisory Committee on Civil Rules / Committee on Rules of Practice and Procedure,,,,,2025-12-16,,,proposed,generative-ai,"[""attorneys"", ""parties""]","[""civil""]","""the court may take corrective action, including imposition of sanctions, if hallucinated content is submitted to the court.""","[""The suggestion proposes a Rule 11(a) certification for any document containing citations filed with a court."", ""The proposed certification covers content created with the assistance of generative artificial intelligence."", ""The signer would certify that they or a supervised individual reviewed AI-created content for existing and accurately cited authorities."", ""The signer would certify that cited authorities support the propositions for which they are cited."", ""The proposed text acknowledges corrective action, including sanctions, for hallucinated content submitted to the court.""]","Rules Suggestion 25-CV-S asks the federal Civil Rules committee to consider amending Rule 11(a) so documents with citations and generative-AI-created content include a certification that supervised human review confirmed authorities exist, citations are accurate, and the authorities support the propositions cited.",https://www.uscourts.gov/sites/default/files/document/25-cv-s_suggestion_from_mark_behrens_and_jacob_bennett_-_rule_11a.pdf,court-pdf,[],,2026-09-06,2d81a29a5212c6a71d0b0258b8d6f30a6638c13514ba2ac17e9ced1074f450e3,"""I certify that I or an individual under my supervision has reviewed all content in this filing created with the assistance of generative artificial intelligence"" for accurate authorities and support.",fetched-and-read,"[""uscourts-search""]","This is a published rules suggestion submitted to the Civil Rules committee, not a committee-approved proposed amendment.",permitted-with-conditions,required,not-addressed,not-addressed,required-each-filing,required,not-addressed,required,not-addressed,not-addressed,not-addressed,not-addressed,False
usjudiciary-court-2025-interim-ai-guidance,Developing Artificial Intelligence Policies,policy,federal-specialty,Federal Judiciary / Judicial Conference of the United States,,,,,,,,in-force,any-ai,"[""judges"", ""court-staff""]","[""all""]",,"[""The AO established an advisory Artificial Intelligence Task Force in early 2025 with judges, court executives, IT staff, and chambers staff."", ""The task force is charged with coordinating AI issues for the judicial branch and recommending policies to the Judicial Conference."", ""The interim guidance aims to allow use and experimentation with AI while preserving federal court integrity and independence."", ""The guidance cautions against delegating core judicial functions to AI, including decision making and case adjudication."", ""The guidance recommends review and independent verification of all AI-generated content or output.""]","The Administrative Office reported that its advisory AI Task Force developed interim judiciary guidance for judges and staff that allows use and experimentation with AI tools while preserving court integrity and independence, cautions against delegating core judicial functions, and recommends independent verification of AI-generated output.",https://www.uscourts.gov/data-news/reports/annual-reports/directors-annual-report/annual-report-2025/court-operations-annual-report-2025,court-website,[],,2026-09-06,67b95af2cf6fb9d73e2eda5216d107c7bf270552ed7595264d7a1a30e9066769,"""The guidance aims to allow for the use of and experimentation with AI tools while preserving the integrity and independence of the federal courts and the judicial process.""",page-read-no-document,"[""uscourts-search"", ""court-site-crawl""]",Annual Report summarizes interim guidance; the full guidance document was not found publicly on uscourts.gov.,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,True
fre-court-2026-proposed-rule-707,Proposed Rule 707: Evidence Produced by Artificial Intelligence and Presented at Trial Without an Expert,proposed-rule,federal-specialty,Federal Rules of Evidence / Advisory Committee on Evidence Rules,,,,,2026-05-17,,,proposed,any-ai,"[""parties""]","[""all""]",,"[""Applies when evidence is a product of artificial intelligence and is offered without an expert witness but would be subject to Rule 702 if testified to by a witness."", ""Requires the proponent to establish helpfulness, sufficient facts or data, reliable principles and methods, and reliable application."", ""Ordinarily requires an expert to explain how the AI system reliably produced the evidence, with exceptional circumstances for other proof."", ""Makes the evidence admissible only if the proponent gives adverse parties reasonable notice of the intent to offer it."", ""The committee decided not to release the revised draft for a new public comment period at that time and planned further AI expert vetting.""]","The Advisory Committee on Evidence Rules reported a revised proposed Rule 707 that would regulate AI-produced evidence offered at trial without an expert witness, require the proponent to establish Rule 702-style reliability, ordinarily require expert explanation, and require reasonable notice to adverse parties.",https://www.uscourts.gov/sites/default/files/document/advisory_committee_on_evidence_rules_may_2026.pdf,court-pdf,[],,2026-09-06,e54cbaab6f6d9db34ed54e432c6786e4996501270ae4859db2b805f5a790b400,"""The evidence is admissible only if the proponent gives an adverse party reasonable notice of the intent to offer the evidence — so that the party has a fair opportunity to meet it.""",fetched-and-read,"[""uscourts-search"", ""court-site-crawl""]",Report states proposed Rule 707 was released for public comment in August 2025; the May 2026 revised draft was not re-published pending further expert vetting.,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,required,not-addressed,False
uspto-boards-2024-ai-misconduct-memo,The Applicability of Existing Regulations as to Party and Practitioner Misconduct Related to the Use of Artificial Intelligence,policy,federal-specialty,"Patent Trial and Appeal Board and Trademark Trial and Appeal Board, USPTO",uspto-boards,,Katherine K. Vidal,,2024-02-06,,,in-force,any-ai,"[""attorneys"", ""parties""]","[""all""]","""[s]triking the offending paper""","[""The memorandum is addressed to the Patent Trial and Appeal Board, the Trademark Trial and Appeal Board, and the Office of General Counsel."", ""Existing USPTO rules apply regardless of how a submission is generated, including with AI assistance."", ""Any paper submitted under signature must be reviewed by the person presenting the paper."", ""The reasonable inquiry can include determining how the paper was prepared and verifying factual and legal representations."", ""Sanctions may include striking papers, preclusion, affecting weight, terminating proceedings, criminal liability, and disciplinary action.""]","The USPTO Director advised the PTAB, TTAB, and General Counsel that existing regulations apply when parties and practitioners use AI in Board submissions, requiring signed papers to be reviewed by a person, accuracy of factual and legal representations verified, confidentiality protected, and sanctions available for misconduct.",https://www.uspto.gov/sites/default/files/documents/director_guidance_ai_use_legal_proceedings.pdf,court-pdf,[],,2026-09-06,b985986259870fa3308883891b75bbd7c480e2b045997178b6e0ad87870fd72d,"""any paper submitted to the USPTO under signature must be reviewed by the person presenting the paper"" and the reasonable inquiry can include verifying factual and legal representations.",fetched-and-read,"[""court-site-crawl""]",Administrative tribunal policy; memorandum says existing rules are adequate and announces forthcoming Federal Register guidance.,permitted-with-conditions,not-addressed,not-addressed,not-addressed,required-each-filing,required,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,True
ca5-court-2023-proposed-rule-32-3-ai-certification,Notice of Proposed Amendment to Fifth Circuit Rule 32.3 and Form 6,proposed-rule,federal-appellate,U.S. Court of Appeals for the Fifth Circuit,ca5,,,,,,,rescinded,generative-ai,"[""attorneys"", ""pro-se-litigants""]","[""appellate""]","""may result in striking the document and sanctions""","[""Would have required Form 6 certification whether generative AI was used in drafting."", ""If used, all generated text, citations, and legal analysis had to be human-reviewed."", ""The Fifth Circuit later decided not to adopt this proposed rule.""]","The Fifth Circuit proposed amending Rule 32.3 and Form 6 to add a generative-AI certification for appellate filings. The proposal would have required counsel and unrepresented filers to certify either no GenAI drafting or human review and approval of all generated text, including citations and legal analysis.",https://www.ca5.uscourts.gov/docs/5995382a-c99d-4f5e-9e3f-8b0498dbd643/public-comment-local-rule-32-3-and-form-6.pdf,court-pdf,[],,2026-09-06,7f1e46b0f209437771febecded21088afe63674ccaecafe942a43bdbab2d816d,"""no generative artificial intelligence program was used in the drafting of this document, or ... all generated text, including all citations and legal analysis, has been reviewed for accuracy and approved by a human.""",fetched-and-read,"[""court-site-crawl""]","Public-comment proposal through January 4, 2024; later not adopted.",permitted-with-conditions,required,not-addressed,not-addressed,required-each-filing,required,not-addressed,required,not-addressed,not-addressed,not-addressed,not-addressed,False
ca5-court-2024-decision-not-to-adopt-ai-rule,Court Decision on Proposed Rule Regarding Artificial Intelligence,notice,federal-appellate,U.S. Court of Appeals for the Fifth Circuit,ca5,,,,,,,in-force,generative-ai,"[""attorneys"", ""pro-se-litigants""]","[""appellate""]","""I used AI"" will not be an excuse","[""The court declined to adopt a special AI rule for drafting briefs."", ""Parties and counsel remain responsible for truthfulness and accuracy under existing appellate rules.""]","After public comment, the Fifth Circuit decided not to adopt its proposed AI certification rule. The notice leaves no special AI disclosure or certification requirement in effect, but expressly warns parties and counsel that existing appellate duties require careful checking for truthfulness and accuracy.",https://www.ca5.uscourts.gov/docs/50decee8-be93-41d3-89f4-6ab796859e84/court-decision-on-proposed-rule.pdf,court-pdf,[],,2026-09-06,73fdb0ad0e27180f4fba2b090a4e4316fc56681ccad47569b354de150f4c1011,"""has decided not to adopt a special rule regarding the use of artificial intelligence in drafting briefs at this time.""",fetched-and-read,"[""court-site-crawl""]",,permitted,not-required,not-required,not-required,not-required,not-required,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,True
cit-court-2025-ai-practice-notice,Use of Artificial Intelligence in the Practice Before the Court,notice,federal-specialty,United States Court of International Trade,cit,,,,2025-03-21,,,in-force,generative-ai,"[""attorneys""]","[""civil""]",,"[""The notice is directed to attorneys using generative artificial intelligence in practice before the Court of International Trade."", ""It points attorneys to individual chambers procedures or orders about confidential or business proprietary information."", ""It reminds attorneys of Rule 11 obligations concerning representations to the court.""]",The Court of International Trade posted a court-wide notice telling attorneys using generative AI to be mindful of individual chambers procedures or orders on confidential and business proprietary information and of Rule 11 obligations regarding representations made to the court.,https://www.cit.uscourts.gov/news/use-artificial-intelligence-practice-court,court-website,[],,2026-09-06,5f6ce1cc25fd1b49773786989796acf7d31f2ba49c06578766f1fc6b97b843ae,"""Attorneys using generative artificial intelligence should be mindful of any individual chambers procedures or orders regarding confidential or business proprietary information"" and Rule 11 obligations.",fetched-and-read,"[""court-site-crawl""]",Court-wide notice does not itself create a disclosure or certification duty beyond pointing to chambers orders and Rule 11.,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,not-addressed,True
cit-kelly-2025-artificial-intelligence,Order on Artificial Intelligence,standing-order,federal-specialty,United States Court of International Trade,cit,,Claire R. Kelly,trial-judge,2025-07-24,,,in-force,generative-ai,"[""attorneys"", ""parties""]","[""civil""]",,"[""Applies to any submission in a case assigned to Judge Kelly containing text drafted with generative AI based on natural language prompts."", ""Identifies ChatGPT and Google Bard as nonexclusive examples of covered tools."", ""Requires a disclosure notice identifying the program used and the specific portion of text drafted."", ""Requires a certification that no confidential or business proprietary information was disclosed to unauthorized parties."", ""Permits parties to file motions seeking relief based on the disclosed facts.""]","Judge Claire R. Kelly of the Court of International Trade requires filings in her cases that contain text drafted with generative AI to include a disclosure identifying the program and portions drafted, plus a certification that confidential or business proprietary information was not disclosed to unauthorized parties.",https://www.cit.uscourts.gov/sites/cit/files/Order_on_Artificial_Intelligence-Judge_Kelly.pdf,court-pdf,[],,2026-09-06,7ed5b89a5d89269b4e461c2980230fb57b04a3069e2346923b99ba547974943d,"""ORDERED that any submission in a case assigned to Judge Kelly that contains text drafted with the assistance of a generative artificial intelligence program"" must be accompanied by a notice and certification.",fetched-and-read,"[""safelegalai-regulation-tracker"", ""court-site-crawl""]","Lead list had an earlier 2024 date; the current court PDF is dated July 24, 2025.",permitted-with-conditions,required,required,not-addressed,not-addressed,not-addressed,required,not-addressed,required,not-addressed,not-addressed,not-addressed,False
cit-restani-2025-artificial-intelligence,Order on Artificial Intelligence,standing-order,federal-specialty,United States Court of International Trade,cit,,Jane A. Restani,trial-judge,2025-07-24,,,in-force,generative-ai,"[""attorneys"", ""parties""]","[""civil""]",,"[""Applies to submissions in cases assigned to Judge Restani containing text drafted with generative AI based on natural language prompts."", ""Names ChatGPT and Google Bard as examples without limiting the order to those tools."", ""Requires a disclosure notice identifying the program used and the specific portion of text drafted."", ""Requires certification that use of the program did not disclose confidential or business proprietary information to an unauthorized party."", ""Provides that any party may file a motion seeking relief after the notice is filed.""]","Judge Jane A. Restani of the Court of International Trade requires AI-drafted text in submissions in her cases to be disclosed by program and text portion, and requires certification that use of the generative AI program did not disclose confidential or business proprietary information to unauthorized parties.",https://www.cit.uscourts.gov/sites/cit/files/JAR_Order_on_Artificial_Intelligence.pdf,court-pdf,[],,2026-09-06,6733fff028cfe250cefbdfae363852cef877b6d0e95c3587c2beaa06570031f0,"""ORDERED that any submission in a case assigned to Judge Restani that contains text drafted with the assistance of a generative artificial intelligence program"" must be accompanied by notice and certification.",fetched-and-read,"[""safelegalai-regulation-tracker"", ""court-site-crawl""]","Lead list had an earlier 2024 date; the current court PDF is dated July 24, 2025.",permitted-with-conditions,required,required,not-addressed,not-addressed,not-addressed,required,not-addressed,required,not-addressed,not-addressed,not-addressed,False
cit-choe-groves-2025-artificial-intelligence,Standing Order on the Use of Artificial Intelligence,standing-order,federal-specialty,United States Court of International Trade,cit,,Jennifer Choe-Groves,trial-judge,2025-07-03,,,in-force,generative-ai,"[""attorneys"", ""pro-se-litigants"", ""parties""]","[""civil""]",,"[""Applies to submissions in cases assigned to Judge Choe-Groves containing text drafted with the assistance of generative AI."", ""Requires a disclosure notice identifying the program used, the manner in which it was used, and the specific text portions drafted."", ""Requires certification that counsel or the party reviewed the included text and legal research for factual and legal accuracy."", ""Requires certification that use of the AI program did not cause unauthorized disclosure of confidential or business proprietary information."", ""Allows any party to move for appropriate relief after such a notice is filed.""]","Judge Jennifer Choe-Groves of the Court of International Trade requires counsel and pro se litigants filing generative-AI-drafted text in her cases to disclose the program, manner of use, and portions drafted, certify human review for factual and legal accuracy, and certify no unauthorized disclosure of confidential information.",https://www.cit.uscourts.gov/sites/cit/files/Choe-Groves.StandingOrder.ArtificialIntelligence.pdf,court-pdf,[],,2026-09-06,3fab763bc06dd4b51e85d740fbc469cb97d154dde2d2f0d997989fd51b8165f1,"""A disclosure notice that identifies the program used, the manner in which it was used, and the specific portions of text that have been drafted"" must accompany covered submissions.",fetched-and-read,"[""court-site-crawl""]",,permitted-with-conditions,required,required,required,required-each-filing,required,required,not-addressed,required,not-addressed,not-addressed,not-addressed,False
